,name,lat,long,address,zipcode
139,Greek Theatre ,34.1195315,-118.2962896,"2700 N Vermont Ave, Los Angeles, CA 90027, USA",90027
140,Greystone Mansion,34.0923011,-118.4012989,"Greystone Mansion, 905 Loma Vista Dr, Beverly Hills, CA 90210, USA",90210
141,Griffith Observatory,34.1184341,-118.30039350000001,"2800 E Observatory Rd, Los Angeles, CA 90027, USA",90027
142,Griffith Park,34.13655440000001,-118.2942,"Griffith Park, 4730 Crystal Springs Dr, Los Angeles, CA 90027, USA",90027
143,Griffith Park Zoo,34.1339393,-118.2890378,"4801 Griffith Park Dr, Los Angeles, CA 90027, USA",90027
144,The Grove at Farmers Market,34.072225,-118.35813329999999,"189 The Grove Dr, Los Angeles, CA 90036, USA",90036
145,The Haas Building,34.045105,-118.25283400000001,"219 7th St, Los Angeles, CA 90014, USA",90014
146,Hammer Museum,34.05946779999999,-118.44366229999999,"10899 Wilshire Blvd, Los Angeles, CA 90024, USA",90024
147,"Hancock Park, Los Angeles",34.072332700000004,-118.3286614,"Greater Wilshire / Hancock Park, Los Angeles, CA, USA",90024
148,The Hat,34.0371942,-118.1464566,"2300 S Atlantic Blvd, Monterey Park, CA 91754, USA",91754
149,Heritage Square Museum,34.088249700000006,-118.20797560000001,"3800 Homer St, Los Angeles, CA 90031, USA",90031
150,Highland-Camrose Bungalow Village,34.10859,-118.33724679999999,"Los Angeles, CA 90068, USA",90068
151,"Highland Park, Los Angeles",34.1154946,-118.1843898,"Highland Park, Los Angeles, CA, USA",90068
152,"Historic Filipinotown, Los Angeles",34.07026940000001,-118.26803829999999,"Historic Filipinotown, Los Angeles, CA, USA",90068
153,Hollenbeck Park,34.0400952,-118.2179399,"Hollenbeck Park, 415 S St Louis St, Los Angeles, CA 90033, USA",90033
154,Hollywood and Highland Center,34.102691899999996,-118.3404156,"6801 Hollywood Blvd, Hollywood, CA 90028, USA",90028
155,Hollywood and Vine,34.102073700000005,-118.32646299999999,"Hollywood Blvd, Los Angeles, CA 90028, USA",90028
156,Hollywood Bowl,34.112224,-118.33912790000001,"2301 N Highland Ave, Los Angeles, CA 90068, USA",90068
157,Hollywood Center Studios,34.0897788,-118.33550729999999,"1040 N Las Palmas Ave, Los Angeles, CA 90038, USA",90038
158,Hollywood Forever Cemetery,34.0888841,-118.31906299999999,"6000 Santa Monica Blvd, Los Angeles, CA 90038, USA",90038
159,Hollywood Heritage Museum,34.108532399999994,-118.33612040000001,"2100 N Highland Ave, Los Angeles, CA 90068, USA",90068
160,Hollywood High School,34.099165,-118.3400514,"1521 N Highland Ave, Los Angeles, CA 90028, USA",90028
161,Hollywood Melrose Hotel,34.0833333,-118.31305559999998,"5162 Melrose Ave, Los Angeles, CA 90038, USA",90038
162,Hollywood Museum,34.10108719999999,-118.33839180000001,"1660 N Highland Ave, Hollywood, CA 90028, USA",90028
163,Hollywood Reservoir,34.119768900000004,-118.3308532,"Hollywood Reservoir, Los Angeles, CA 90068, USA",90068
164,Hollywood Roosevelt Hotel,34.1012777,-118.34161280000001,"7000 Hollywood Blvd, Los Angeles, CA 90028, USA",90028
165,Hollywood Sign,34.1341151,-118.32154820000001,"Los Angeles, CA 90068, USA",90068
166,Hollywood Walk of Fame,34.1015549,-118.3268568,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, USA",90028
167,Hotel Café,34.100401700000006,-118.32983270000001,"1623 N Cahuenga Blvd, Los Angeles, CA 90028, USA",90028
168,Hotel Chancellor,37.7886997,-122.40878889999999,"433 Powell St, San Francisco, CA 94102, USA",94102
169,Hsi Lai Temple,33.97568820000001,-117.9677071,"3456 Glenmark Dr, Hacienda Heights, CA 91745, USA",91745
170,Huntington Library,34.12904520000001,-118.1145242,"The Huntington Library, Art Museum, and Botanical Gardens, 1151 Oxford Rd, San Marino, CA 91108, USA",91108
171,"San Marino, California",34.121396999999995,-118.1064585,"San Marino, CA 91108, USA",91108
172,Inglewood Park Cemetery,33.970889,-118.343547,"720 E Florence Ave, Inglewood, CA 90301, USA",90301
173,Japanese American National Museum,34.0496239,-118.23858870000001,"100 N Central Ave, Los Angeles, CA 90012, USA",90012
174,The Japanese Garden,34.1829524,-118.4809759,"The Japanese Garden, 6100 Woodley Ave, Lake Balboa, CA 91406, USA",91406
175,Jardinette Apartments,34.0847385,-118.30997020000001,"5128 Marathon St, Los Angeles, CA 90038, USA",90038
176,Jet Propulsion Laboratory,34.2013081,-118.17139440000001,"4800 Oak Grove Dr, Pasadena, CA 91109, USA",91109
177,"Pasadena, California",34.1477849,-118.1445155,"Pasadena, CA, USA",91109
178,Jewelry District ,34.047575099999996,-118.2536906,"412 W 6th St, Los Angeles, CA 90014, USA",90014
179,John Sowden House,34.1059008,-118.30122050000001,"5121 Franklin Ave, Los Angeles, CA 90027, USA",90027
180,Johnie's Coffee Shop,34.06328999999999,-118.36153190000002,"6099 Wilshire Blvd, Los Angeles, CA 90048, USA",90048
181,Judson Studios,34.1130509,-118.17992779999999,"200 S Ave 66, Los Angeles, CA 90042, USA",90042
182,Jumbo's Clown Room,34.1020277,-118.3024192,"5153 Hollywood Blvd, Los Angeles, CA 90027, USA",90027
183,Kelton Apartments,34.067671600000004,-118.45322949999999,"520 Kelton Ave, Los Angeles, CA 90024, USA",90024
184,Knott's Berry Farm,33.84430379999999,-118.0002265,"8039 Beach Blvd, Buena Park, CA 90620, USA",90620
185,Korean Bell of Friendship,33.7097361,-118.2938,"3601 S Gaffey St, San Pedro, CA 90731, USA",90731
186,"Koreatown, Los Angeles, California",34.0597117,-118.3008918,"Koreatown, Los Angeles, CA, USA",90731
187,Kronish House,34.0879925,-118.4007706,"9439 Sunset Blvd, Beverly Hills, CA 90210, USA",90210
188,L.A. Live,34.044750799999996,-118.2653642,"800 W Olympic Blvd, Los Angeles, CA 90015, USA",90015
189,La Brea Tar Pits,34.063804299999994,-118.355453,"5801 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
190,"Lafayette Park, Los Angeles",34.0618422,-118.2836517,"Lafayette Park, 5077006901, Los Angeles, CA 90005, USA",90005
191,Landfair Apartments,34.0663971,-118.4491148,"625 Landfair Ave, Los Angeles, CA 90024, USA",90024
192,"Laurel Canyon, Los Angeles",34.1173429,-118.3753081,"Laurel Canyon, Los Angeles, CA 90046, USA",90046
193,Leimert Park,34.01067020000001,-118.3234759,"Leimert Park, Los Angeles, CA, USA",90046
194,The Leo Magnus Cricket Complex,34.178774100000005,-118.47645049999998,"6350 Woodley Ave, Van Nuys, CA 91436, USA",91436
195,Leonis Adobe,34.1576729,-118.63982390000001,"23537 Calabasas Rd, Calabasas, CA 91302, USA",91302
196,Levitated Mass,34.06443170000001,-118.3599374,"5905 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
197,Lincoln Heights Branch,34.07616420000001,-118.21400630000001,"2530 Workman St, Los Angeles, CA 90031, USA",90031
198,"Little Armenia, Los Angeles",34.098127399999996,-118.30053329999998,"Little Armenia, Los Angeles, CA, USA",90031
199,"Little Ethiopia, Los Angeles",34.057384000000006,-118.3640916,"Little Ethiopia, Los Angeles, CA, USA",90031
200,Llano del Rio,34.506471999999995,-117.827083,"34°30'23.3""N 117°49'37.5""W, Llano, CA 93544, USA",93544
201,United States Post Office–Long Beach Main,33.770831799999996,-118.1891384,"300 Long Beach Blvd, Long Beach, CA 90802, USA",90802
202,Los Angeles Air Force Base,33.9180881,-118.3820455,"482 N Aviation Blvd, El Segundo, CA 90245, USA",90245
203,Los Angeles Aqueduct,34.3226615,-118.49744129999999,"Sylmar, CA 91342, USA",91342
204,Los Angeles Central Library,34.050250899999995,-118.25508889999999,"630 W 5th St, Los Angeles, CA 90071, USA",90071
205,Los Angeles City Hall,34.0537136,-118.2426533,"200 N Spring St, Los Angeles, CA 90012, USA",90012
206,Los Angeles Convention Center,34.0403207,-118.26956240000001,"1201 S Figueroa St, Los Angeles, CA 90015, USA",90015
207,Los Angeles County Arboretum and Botanic Garden,34.1440502,-118.0513836,"Los Angeles County Arboretum, 301 N Baldwin Ave, Arcadia, CA 91007, USA",91007
208,Los Angeles County Coroner's Office,34.0603001,-118.21325719999999,"1104 N Mission Rd, Los Angeles, CA 90033, USA",90033
209,Los Angeles County Museum of Art,34.0639323,-118.35922930000001,"5905 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
210,Los Angeles Fire Department Museum and Memorial,34.0960581,-118.32992320000001,"1355 N Cahuenga Blvd, Los Angeles, CA 90028, USA",90028
211,Los Angeles International Airport,33.9415889,-118.40853,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",90045
212,"Westchester, Los Angeles",33.962590500000005,-118.3987842,"Westchester, Los Angeles, CA, USA",90045
213,Los Angeles Memorial Coliseum,34.0140526,-118.28787539999999,"3911 Figueroa St, Los Angeles, CA 90037, USA",90037
214,Los Angeles Nurses' Club,34.0596722,-118.2609528,"245 Lucas Ave, Los Angeles, CA 90026, USA",90026
215,Los Angeles River bicycle path,33.8481371,-118.2023424,"Los Angeles River Bicycle Path, California, USA",90026
216,Los Angeles State Historic Park,34.06868850000001,-118.23156499999999,"Los Angeles State Historic Park, 1245 N Spring St, Los Angeles, CA 90012, USA",90012
217,Los Angeles Zoo,34.148353799999995,-118.28486409999998,"5333 Zoo Dr, Los Angeles, CA 90027, USA",90027
218,Los Encinos State Historic Park,34.160304499999995,-118.49858059999998,"Los Encinos State Historic Park, 16756 Moorpark St, Encino, CA 91436, USA",91436
219,Lovell House,34.1181649,-118.2878041,"4616 Dundee Dr, Los Angeles, CA 90027, USA",90027
220,Lummis House,34.093169,-118.206999,"200 E Ave 43, Los Angeles, CA 90031, USA",90031
221,Lydecker House,34.13930089999999,-118.38924440000001,"3820 Buena Park Dr, Studio City, CA 91604, USA",91604
